gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TGFB2	1.5791825675109e-293	0.797961333837368	0.676	0.103	5.29642041317481e-289
PRSS23	4.6960468082491e-273	1.37838491831836	0.834	0.219	1.57500713901867e-268
EVA1A	8.65315372613076e-231	0.74104592167929	0.673	0.137	2.902181228207e-226
ACTG2	1.21310977032851e-228	1.86692987991055	0.851	0.285	4.06864885870478e-224
RDH10	5.85481872493653e-226	1.24220678092524	0.768	0.212	1.96364765215646e-221
LOX	3.43621930406364e-223	0.882317645667726	0.798	0.219	1.1524735923899e-218
NEXN	7.75450788061332e-211	0.718459583679506	0.736	0.182	2.6007843980789e-206
TAGLN	6.89659141214476e-209	2.78678500003903	0.912	0.446	2.31304779371923e-204
FLNA	1.20464256878194e-208	1.43341008528432	0.991	0.951	4.04025071143776e-204
NEB	4.0115761974125e-200	0.728913935009204	0.676	0.158	1.34544254085018e-195
CDH13	4.66442438632619e-192	0.354953123009606	0.476	0.069	1.56440129492994e-187
FBN2	7.89145399475213e-191	0.780564101999308	0.736	0.203	2.64671475529992e-186
CALD1	1.0704959894234e-187	1.53732994171818	0.996	0.965	3.59033649892715e-183
ANKRD1	1.47124231006684e-185	1.74555402243425	0.581	0.125	4.93439958373319e-181
TPM1	1.5899919387261e-185	1.72391651492876	0.97	0.809	5.33267396329345e-181
MCAM	1.93208799718369e-185	0.670230144071593	0.731	0.205	6.48002993375438e-181
PRND	8.91726938449043e-185	0.781917223625706	0.605	0.132	2.99076297886425e-180
PHLDB2	2.07187536116004e-183	0.620212428743645	0.703	0.198	6.94886277379467e-179
PLXNC1	3.06177498307846e-182	0.386403399510931	0.457	0.068	1.02688871157468e-177
MYH9	5.32714864797053e-182	1.13187184738842	0.973	0.853	1.78667238504284e-177
TMSB4X	4.28465882194665e-181	1.73741864827393	1	0.999	1.43703172229269e-176
RPL18A	2.61376986176915e-180	-0.706734356275088	1	1	8.76632273938755e-176
KRT34	4.00464894747883e-180	1.01911163059944	0.515	0.095	1.34311921049493e-175
SPOCK1	5.75432484314126e-180	0.450530267273901	0.538	0.101	1.92994300914115e-175
ARHGAP29	1.11212210435855e-179	1.0402520897044	0.867	0.368	3.72994632580814e-175
CYR61	4.99776006997501e-179	1.31138744860292	0.853	0.364	1.67619874986892e-174
S100A10	9.21717022752677e-178	1.60086341719547	0.915	0.461	3.0913467226102e-173
ACTA2	1.09966143536689e-176	2.08185721486964	0.92	0.564	3.68815448807701e-172
CRIM1	2.28387584550631e-173	0.914693645676719	0.841	0.376	7.65989119824361e-169
RPL13	7.64147732049092e-173	-0.888912147700799	1	1	2.56287507851945e-168
AC092807.3	3.90649765141787e-172	0.419851446631223	0.558	0.114	1.31020024730904e-167
RASGRP3	1.03892214209053e-171	0.288511509556965	0.439	0.065	3.48444097235743e-167
TPM2	1.65299437240744e-171	1.55634935240239	0.966	0.702	5.5439778256173e-167
MEST	5.30370999218539e-171	1.02808370517626	0.819	0.329	1.77881129427906e-166
ADM	4.4672565708001e-170	0.884620926603134	0.591	0.141	1.49827318128064e-165
FILIP1L	5.59015655024952e-168	0.760647763789332	0.607	0.148	1.87488260538819e-163
TBX1	3.56123863042467e-167	0.640992567896079	0.818	0.286	1.19440382425813e-162
MARCKS	7.9189684623268e-166	1.11861967584472	0.988	0.97	2.65594283257979e-161
FOSL2	3.0457301486393e-165	0.540555168668639	0.658	0.176	1.02150743455214e-160
RPS15	3.47153182053861e-165	-0.583233483325181	1	1	1.16431705729044e-160
