"","NT5E"
"A1BG",-0.219812136599526
"A1BG-AS1",-0.159187526383868
"A2M",0.659158805127588
"A2M-AS1",0.0755972159931388
"A2ML1",-0.0128439674128548
"A4GALT",-0.0497357952221199
"A4GNT",-0.065855423577198
"AA06",-0.0443685661030911
"AAAS",-0.0792153987950884
"AACS",-0.0212463100616015
"AACSP1",-0.0789118459453885
"AADAC",0.0950973247009525
"AADACL2",0.0129192821853565
"AADACP1",0.153346407535716
"AADAT",0.401107294944022
"AAED1",0.254708726254744
"AAGAB",0.399570528292627
"AAK1",0.439524574900108
"AAMDC",0.0470761709245934
"AAMP",-0.290213358261321
"AAR2",-0.205341145956502
"AARS",-0.0648276384604042
"AARS2",-0.271325732106192
"AASDH",-0.575535507446249
"AASDHPPT",-0.472977962433377
"AASS",-0.283352066526976
"AATBC",0.155191821429352
"AATF",-0.286125594357018
"AATK",0.137630397014956
"ABAT",-0.250791759081499
"ABCA1",0.0921121394192966
"ABCA11P",-0.319857491065063
"ABCA12",0.0746203080797433
"ABCA13",0.219891355282694
"ABCA17P",-0.194594753334266
"ABCA2",-0.0827032838764982
"ABCA3",-0.207732923465242
"ABCA5",-0.151937473175106
"ABCA6",0.0947074862459334
"ABCA7",0.282853277175842
"ABCA8",0.122269610435603
"ABCA9",0.0162721195382119
"ABCB1",0.390200991158131
"ABCB10",-0.043200624855666
"ABCB4",0.462983239122216
"ABCB5",0.129136410396257
"ABCB6",-0.404402757237749
"ABCB7",-0.251215293314527
"ABCB8",-0.240342931627685
"ABCB9",-0.290196251222156
"ABCC1",0.0639019420370702
"ABCC10",0.0474401754754428
"ABCC12",0.105752506479539
"ABCC13",0.0417443398757637
"ABCC3",0.369810377935672
"ABCC4",-0.0861891652967401
"ABCC5",-0.150642409672301
"ABCC6",-0.155616150942745
"ABCC6P1",-0.174230842839781
"ABCC9",0.448921188649239
"ABCD1",0.0669009480851229
"ABCD2",-0.0683994671118654
"ABCD3",-0.241925502373008
"ABCD4",-0.158588843985675
"ABCE1",-0.471117314707698
"ABCF1",0.094865028924246
"ABCF2",-0.166625694941586
"ABCF3",0.202159750824746
"ABCG1",0.355697157966263
"ABCG2",0.40665718477625
"ABCG4",0.218418149310163
"ABHD1",-0.149438388984504
"ABHD10",-0.251710674241235
"ABHD11",0.0440646644757756
"ABHD12",0.368544161361556
"ABHD13",-0.12409987732782
"ABHD14B",0.0677234519779901
"ABHD15",0.104282092408076
"ABHD16A",-0.122303983291529
"ABHD17A",0.00335354137012541
"ABHD17B",-0.0258671876779495
"ABHD17C",0.147320183978187
"ABHD18",-0.112452358425418
"ABHD2",0.376368308601402
"ABHD3",0.0197833503960115
"ABHD4",0.45510472270285
"ABHD5",-0.0244242175104781
"ABHD6",-0.263555871888676
"ABHD8",-0.23133655896055
"ABI1",-0.0389472238719218
"ABI2",-0.289546779240217
"ABI3",0.126488763747046
"ABI3BP",0.436592675031646
"ABL1",-0.10406562943022
"ABL2",0.17097825911612
"ABLIM1",-0.0136343253791606
"ABLIM2",0.0851741800300348
"ABLIM3",0.513776043687679
"ABR",0.134301989629357
"ABRA",0.0987242455742041
"ABRACL",0.305263409437194
"ABT1",-0.162775008207585
"ABTB1",0.203860790428329
"ABTB2",-0.312682004887871
"ACAA1",0.120402025673754
"ACAA2",-0.0531250874493952
"ACACA",-0.146498883780293
"ACACB",-0.261776507870614
"ACAD10",-0.216961133220096
"ACAD8",-0.393380273338949
"ACAD9",-0.201747189044475
"ACADL",0.0648535143393669
"ACADM",-0.0456065620111011
"ACADS",0.0514172860240141
"ACADSB",-0.233262268668137
"ACADVL",0.0843298594677338
"ACAN",0.655949427419042
"ACAP1",0.119640458332857
"ACAP2",0.218818787524806
"ACAP3",0.0407946158960324
"ACAT1",-0.141233586311123
"ACAT2",-0.164280964770959
"ACBD3",0.580302322409324
"ACBD4",-0.179815834518356
"ACBD5",0.00151612799093597
"ACBD6",-0.264935208794802
