"","NT5E"
"A1BG",0.0172513844112923
"A1BG-AS1",0.0864664853027155
"A2M",6.66133814775094e-16
"A2M-AS1",0.417888695953939
"A2ML1",0.890680817536412
"A4GALT",0.59435994832405
"A4GNT",0.480528017489087
"AA06",0.634786456079443
"AAAS",0.395891811250104
"AACS",0.820134327055676
"AACSP1",0.397710303908609
"AADAC",0.307773834606015
"AADACL2",0.890043797620212
"AADACP1",0.0988071122445957
"AADAT",7.40399552956461e-06
"AAED1",0.00558193376273031
"AAGAB",8.08308003019675e-06
"AAK1",7.12738335906238e-07
"AAMDC",0.614247983607191
"AAMP",0.00150335264865609
"AAR2",0.026352287376838
"AARS",0.487418631893229
"AARS2",0.00308595413985913
"AASDH",1.13860032513458e-11
"AASDHPPT",7.24752122760464e-08
"AASS",0.00196336392577168
"AATBC",0.0947667587105894
"AATF",0.00176392055539987
"AATK",0.138935089387457
"ABAT",0.00638486032972274
"ABCA1",0.323275323067886
"ABCA11P",0.000438985111687273
"ABCA12",0.423947418039466
"ABCA13",0.0172102192840342
"ABCA17P",0.0355176598847224
"ABCA2",0.375354617996129
"ABCA3",0.0246128157976782
"ABCA5",0.101982235549109
"ABCA6",0.309770158099439
"ABCA7",0.00200132642636874
"ABCA8",0.189088040227971
"ABCA9",0.861762001056679
"ABCB1",1.36735088613893e-05
"ABCB10",0.643733460329718
"ABCB4",1.47216045576215e-07
"ABCB5",0.165245383368201
"ABCB6",6.1249257483631e-06
"ABCB7",0.00629335418344401
"ABCB8",0.00904969126740718
"ABCB9",0.00150436597970582
"ABCC1",0.493669584259113
"ABCC10",0.611508999992485
"ABCC12",0.256462428650094
"ABCC13",0.654960986248544
"ABCC3",4.06738346565572e-05
"ABCC4",0.355491676094453
"ABCC5",0.104970925924483
"ABCC6",0.093856464045218
"ABCC6P1",0.0602776560869236
"ABCC9",3.84318607160594e-07
"ABCD1",0.473572576417835
"ABCD2",0.463699570884885
"ABCD3",0.00859173921510914
"ABCD4",0.0876718693927883
"ABCE1",8.28380277706486e-08
"ABCF1",0.308962383892801
"ABCF2",0.0725651762886859
"ABCF3",0.0288276261058718
"ABCG1",8.29695990209878e-05
"ABCG2",5.37339001072112e-06
"ABCG4",0.0179898248074082
"ABHD1",0.107810652641745
"ABHD10",0.00618780484262693
"ABHD11",0.63710949793868
"ABHD12",4.34195269858328e-05
"ABHD13",0.182501394204857
"ABHD14B",0.468139433384157
"ABHD15",0.263171550016737
"ABHD16A",0.188962768837111
"ABHD17A",0.97137427034103
"ABHD17B",0.781903989415637
"ABHD17C",0.112951804479184
"ABHD18",0.227381435665464
"ABHD2",2.8872189015372e-05
"ABHD3",0.832331073985281
"ABHD4",2.53360062263397e-07
"ABHD5",0.793791147942228
"ABHD6",0.00409008256013443
"ABHD8",0.0120881229737599
"ABI1",0.676741481804904
"ABI2",0.00154329963956168
"ABI3",0.174159097085109
"ABI3BP",8.60978146999258e-07
"ABL1",0.264169217671698
"ABL2",0.0653066694003737
"ABLIM1",0.883999436408104
"ABLIM2",0.361206467455054
"ABLIM3",3.13835379905925e-09
"ABR",0.14883744573805
"ABRA",0.289604239477561
"ABRACL",0.000817697533787687
"ABT1",0.0795176745311821
"ABTB1",0.0274805908695659
"ABTB2",0.000598389007247402
"ACAA1",0.195985542806485
"ACAA2",0.569445744487476
"ACACA",0.114995748726021
"ACACB",0.00435768341413123
"ACAD10",0.0187907029664278
"ACAD8",1.14600719851587e-05
"ACAD9",0.0291626546620312
"ACADL",0.487244507783354
"ACADM",0.625359964781143
"ACADS",0.581938053071412
"ACADSB",0.0113723309168177
"ACADVL",0.366003408542606
"ACAN",8.88178419700125e-16
"ACAP1",0.198849828004536
"ACAP2",0.0177748465431904
"ACAP3",0.662324979587328
"ACAT1",0.128788427222719
"ACAT2",0.0767375570349742
"ACBD3",7.02060631851964e-12
"ACBD4",0.0523837946532359
"ACBD5",0.987056195639884
"ACBD6",0.00389287173892372
"ACCS",0.495955725858886
"ACD",0.0141764897059624
"ACE",0.00156440130743452
"ACE2",0.825776806220912
"ACER3",0.304175130007556
"ACHE",0.165040903612148
"ACIN1",0.0164262074196071
"ACKR1",2.11829908816075e-05
"ACKR2",0.140443755796892
"ACKR3",7.3727664418044e-08
"ACKR4",0.146859646492462
"ACLY",0.764463302688589
"ACO1",0.3082679491043
"ACO2",0.163639863226232
"ACOT11",0.128929473558295
"ACOT13",0.576878450123353
"ACOT4",0.0479697436800741
"ACOT7",0.782565045582628
"ACOT8",0.0645781243222174
"ACOT9",1.03576467624933e-07
"ACOX1",0.249082552457507
"ACOX2",0
"ACOX3",0.140012672299773
"ACOXL",0.267666629437692
"ACP1",0.000129034037671616
"ACP2",2.21986670156937e-07
"ACP5",4.77444483948375e-09
"ACP6",0.000137466944955644
"ACPP",0.0489769278753924
"ACPT",0.00928589836154137
"ACRBP",0.161303599232407
"ACRC",0.0592099296686546
"ACRV1",0.377845722365441
"ACSBG1",0.156861144709228
"ACSBG2",0.00448357472769523
"ACSF2",0.000679487439239512
"ACSF3",0.294927506062342
"ACSL1",9.25677401886205e-06
"ACSL3",0.0168200412002388
"ACSL4",6.28395012960414e-05
"ACSL5",3.72413211380263e-12
"ACSL6",0.0232314974711736
"ACSM2A",0.888556202179589
"ACSM3",0.00121775974315663
"ACSM5",3.81041530892468e-05
"ACSS1",0.507672255695857
"ACSS2",0.0132991442884474
"ACSS3",0.266641673909978
"ACTA1",0.0389428109493184
"ACTA2",0
"ACTA2-AS1",5.26797798272582e-07
"ACTB",5.54969391997062e-07
"ACTC1",0.000121233641253937
"ACTG1P17",0.0134732117284364
"ACTG2",9.78748931532714e-05
"ACTL10",0.718918571304968
"ACTL6A",0.0187288335582734
"ACTL6B",0.319453602776039
"ACTL9",0.134799925939757
"ACTN1",1.72306613421824e-13
"ACTN2",0.152601960633348
"ACTN3",0.17957621111976
"ACTN4",0.000143861866130024
"ACTR10",0.00191666052924111
"ACTR1A",0.000148575117406846
"ACTR1B",0.0553678333877712
"ACTR2",0.0682191327376576
"ACTR3",0.00250245700207641
"ACTR3B",0.000201414644135589
"ACTR3BP2",0.603320014704996
"ACTR3C",0.00425305689672828
"ACTR5",0.013194783484034
"ACTR6",8.58442206208565e-10
"ACTR8",0.24642640190999
"ACTRT3",0.0391479986719567
"ACVR1",7.02643936367764e-08
"ACVR1B",0.000218509566926484
"ACVR1C",0.188600023341677
"ACVR2A",0.354136034344718
"ACVR2B",3.00265186625737e-06
"ACVR2B-AS1",0.848337232219907
"ACVRL1",3.43781669798204e-10
"ACY3",0.0427923666420753
"ACYP1",0.175426558634434
"ACYP2",0.425026141790051
"ADA",0.00309372184821943
"ADAD1",0.055259357740719
"ADAL",0.000597499299624715
"ADAM10",0.405592582898872
"ADAM11",0.0148731240231124
"ADAM12",0
"ADAM15",1.01184238765484e-09
"ADAM17",0.00178880839644391
"ADAM18",0.810196870327659
"ADAM19",0
"ADAM21",0.749411120875187
"ADAM22",0.184242026352138
"ADAM23",0.000971974384239127
"ADAM28",0
"ADAM32",0.170017471472569
"ADAM33",0.00724350466224832
"ADAM5",0.37709371724516
"ADAM6",0.571622988491266
"ADAM8",0.00889781646125654
"ADAM9",6.05031580391824e-11
"ADAMDEC1",1.02109638691061e-05
"ADAMTS1",1.88611348761469e-11
"ADAMTS10",0.854664368137518
"ADAMTS12",0
"ADAMTS13",8.62974052231458e-05
"ADAMTS14",8.60296675231353e-06
"ADAMTS15",0.0732483620218356
"ADAMTS16",1.47527757314858e-05
"ADAMTS17",0.697483678749804
"ADAMTS18",4.79617878745842e-09
"ADAMTS2",2.37587727269783e-14
"ADAMTS20",0.639927839127934
"ADAMTS3",9.02833363625177e-13
"ADAMTS4",0.56993998337918
"ADAMTS5",1.82609483090346e-12
"ADAMTS6",8.79568892697691e-06
"ADAMTS7",2.09766692904623e-09
"ADAMTS8",0.265943055832142
"ADAMTS9",1.24344978758018e-14
"ADAMTS9-AS2",0.373002063712744
"ADAMTSL1",1.11022302462516e-15
"ADAMTSL2",2.0002458892332e-05
"ADAMTSL3",0.00285296165758653
"ADAMTSL4",3.75773494099008e-07
"ADAP1",0.0216323938145215
"ADAP2",4.48530101948563e-14
"ADAR",0.988606270616565
"ADARB1",9.52956407962446e-06
"ADARB2",0.340541541655472
"ADARB2-AS1",0.753190860587816
"ADAT1",0.324320611364229
"ADAT2",1.05702494446192e-06
"ADAT3",0.65332771383809
"ADCK1",0.000569725711216273
"ADCK2",0.000287287288693427
"ADCK3",0.972850770921424
"ADCK4",0.000108963845995014
"ADCK5",0.917047857842958
"ADCY1",0.00199083474093431
"ADCY10",0.868430769767985
"ADCY10P1",0.000747567434503438
"ADCY2",0.0196216276564956
"ADCY3",1.53252727081998e-05
"ADCY4",5.92859095149834e-13
