gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RBP7	0	1.08097705992539	0.46	0.101	0
COL11A1	0	0.598746941967445	0.358	0.061	0
RGS5	0	1.39607017467961	0.503	0.127	0
FN1	0	1.30965671189942	0.959	0.661	0
NT5E	0	1.31700624361219	1	0	0
CALD1	0	1.66885189822623	0.917	0.717	0
TAGLN	0	1.74992736630908	0.74	0.292	0
VIM	0	1.66455374016902	0.998	0.965	0
MYOF	0	0.664585557053415	0.46	0.096	0
CD9	0	0.955999405278227	0.599	0.18	0
ACTN1	0	1.25668091863744	0.905	0.535	0
ANXA2	0	0.973536577964342	0.997	0.963	0
TPM1	0	1.45462522334196	0.896	0.569	0
NUPR1	0	0.873737601082204	0.402	0.076	0
CAVIN1	0	1.00682828638057	0.753	0.317	0
COL1A1	0	1.53130644470018	0.731	0.305	0
DSTN	0	1.18979035620207	0.995	0.965	0
MYL9	0	0.754650105982351	0.365	0.051	0
S100A10	6.11859990036415e-298	1.78677775850781	0.803	0.53	1.31647795456235e-293
LGALS1	1.21807527863927e-295	1.40852630941326	0.897	0.672	2.62081076952025e-291
CRIM1	1.13282625892847e-292	0.871948231408758	0.704	0.294	2.43738897871049e-288
COL1A2	3.89439004531872e-291	1.42291936443756	0.686	0.318	8.37916962150776e-287
CRYAB	3.87084311097522e-287	1.26894297311901	0.654	0.246	8.32850603757428e-283
MYL12A	2.47424848143522e-278	0.788465222926322	0.993	0.945	5.32359303265602e-274
PPIC	5.10190730770581e-272	0.479273195863216	0.345	0.066	1.09772637632598e-267
FBN1	6.14064949741434e-270	0.869023016789439	0.597	0.213	1.32122214586367e-265
CD44	1.9317180579171e-263	0.490166708508915	0.348	0.068	4.15628457341444e-259
MT1E	6.08927520967619e-263	0.64942950282028	0.326	0.06	1.31016845411393e-258
LMNA	2.71542816675939e-262	1.01766087913678	0.965	0.792	5.84251524359951e-258
FABP7	1.85299323630462e-261	0.700980679705941	0.323	0.058	3.98690024723302e-257
CTSZ	1.76633102447224e-259	0.428869164145396	0.273	0.04	3.80043783225446e-255
PDLIM2	2.42465329498363e-258	0.776062182027183	0.493	0.155	5.21688402948679e-254
ALCAM	1.02455282636607e-249	0.892522505581096	0.724	0.363	2.20442786120923e-245
EHD2	6.37594653146766e-248	0.469551249117391	0.381	0.088	1.37184865571058e-243
LOX	7.34589462615194e-248	0.861223655354265	0.537	0.187	1.58054268776285e-243
PEG3	2.6848177047345e-246	1.36647445508142	0.547	0.201	5.77665377350676e-242
TGFB1I1	2.05924137097103e-245	0.444659840531266	0.293	0.051	4.43066373378127e-241
LINC01133	5.31405810825665e-245	0.481144907812517	0.32	0.062	1.1433727425725e-240
PDLIM1	1.40683744220433e-244	0.670410084943481	0.429	0.119	3.02695144064684e-240
NPY1R	8.35682366543778e-244	0.991382769024697	0.844	0.519	1.79805417985559e-239
FSTL1	1.78997666495515e-240	1.08514883197117	0.825	0.59	3.85131379231749e-236
S100A6	1.75400450358341e-239	2.25934920720889	0.618	0.316	3.77391608991007e-235
CYR61	1.16755767834268e-236	1.10904682222748	0.637	0.283	2.51211710072212e-232
LTBP1	1.85408337562542e-233	0.738383792282091	0.511	0.176	3.98924579099564e-229
TPM4	1.22072756430148e-232	0.702282305409279	0.996	0.961	2.62651742735107e-228
AKR1C3	5.85465133861836e-231	0.917318725385936	0.664	0.283	1.25968678201713e-226
SDC2	2.36693695337081e-230	0.87007985136282	0.587	0.241	5.09270154887264e-226
EVA1A	2.63795416675851e-230	0.467532079509897	0.362	0.086	5.67582218519761e-226
GLIPR1	1.28642019689498e-229	0.727417172132584	0.568	0.219	2.76786169563923e-225
MYH9	4.67708774903458e-224	0.916191825757432	0.931	0.751	1.00632220008228e-219
NPC2	4.97780098409561e-224	0.910574968857014	0.791	0.503	1.07102365973801e-219
CAMK2N1	5.98573177871606e-224	0.779038968643057	0.507	0.182	1.28789004950855e-219
PARVG	1.06336808577147e-223	0.352508534597686	0.248	0.038	2.2879427733459e-219
BGN	2.80665065810712e-223	0.64784821870261	0.392	0.106	6.03878955598327e-219
SH3BGRL3	7.81782422578691e-222	0.681282084229217	0.989	0.9	1.68208306042031e-217
TSPAN12	2.0039243998355e-218	0.521011407414966	0.336	0.079	4.31164373868607e-214
EPAS1	5.72097076246161e-215	0.663133420192087	0.524	0.192	1.23092406925124e-210
FERMT2	7.9770546035327e-215	0.810859169084717	0.702	0.369	1.7163430684961e-210
ATP1B1	9.41856107964934e-215	0.62971952538119	0.467	0.153	2.02649760189735e-210
PRELP	4.83305499342872e-214	0.414613293623436	0.254	0.043	1.03988011238612e-209
SLIT3	6.0836176536737e-213	0.367283347795101	0.262	0.046	1.30895117436443e-208
PMP22	1.98814229937373e-212	0.400321017155392	0.292	0.059	4.27768697133252e-208
P4HA1	2.291872306273e-210	0.969046179251521	0.746	0.461	4.93119245417698e-206
LOXL1	2.80991066891274e-210	0.560194812396248	0.534	0.199	6.04580379523265e-206
RBP4	3.7591636849833e-210	0.424210713468358	0.235	0.037	8.08821658461006e-206
CTSB	1.35766460667042e-207	0.927435946441483	0.81	0.554	2.92115116771208e-203
LIMA1	6.4747573400115e-207	0.972158971744492	0.927	0.785	1.39310878927687e-202
TMSB4X	3.51978631103044e-206	0.86351239212894	0.995	0.923	7.57317222681309e-202
BST1	4.86390693351287e-206	0.411906459973413	0.311	0.07	1.04651821581463e-201
MYL6	1.77294349411066e-205	0.763432446771218	0.999	0.999	3.8146652219285e-201
CD63	7.1503878815519e-200	0.68417305580013	0.994	0.974	1.53847745659471e-195
BST2	2.45641201512317e-199	0.740912467826131	0.429	0.138	5.28521609173901e-195
S100A11	1.78150191167624e-198	0.870838780003536	0.913	0.748	3.83307951316261e-194
IGFBP2	7.35122768205065e-197	0.730251413170175	0.991	0.927	1.58169014807002e-192
CSPG5	3.59813515474314e-196	0.535268449835433	0.379	0.11	7.74174759894533e-192
ACTN4	1.2867749939024e-193	0.732872119644672	0.92	0.757	2.76862507688041e-189
HTRA1	4.7576052515393e-193	0.338323454050745	0.223	0.036	1.0236463459212e-188
ANXA1	5.73148004897045e-193	0.722840956723478	0.971	0.86	1.23318524733648e-188
TPM2	2.0137020019426e-192	0.701650662196354	0.965	0.925	4.33268122737969e-188
THY1	4.53741641141317e-192	0.946517145108413	0.765	0.485	9.76270515079658e-188
CTGF	8.3478502561845e-192	1.03575853700135	0.558	0.24	1.79612346112066e-187
ACTB	1.22921258144764e-191	0.467179425373695	1	1	2.64477379024275e-187
PRSS23	3.80386006964225e-190	0.587142832803248	0.391	0.12	8.18438532584227e-186
MEG3	1.07102919988957e-189	0.898417633511649	0.768	0.447	2.3044264264824e-185
VGLL3	7.388660124125e-189	0.571037010492646	0.396	0.124	1.58974411230673e-184
DLC1	5.32277681058642e-186	0.738072843498773	0.753	0.451	1.14524865856577e-181
CYTL1	2.93595247502282e-184	0.927467505944385	0.437	0.157	6.3169953452591e-180
MARCKS	4.00615883002668e-184	0.863320453597518	0.939	0.886	8.6196513386854e-180
EMP1	4.5728231717713e-182	0.460651966588429	0.382	0.115	9.83888633638313e-178
NID1	5.20555573725975e-181	0.438297582796137	0.318	0.082	1.12002737242881e-176
SSPN	3.44329830223018e-180	0.604719196160523	0.442	0.158	7.40860062707846e-176
LMO7	7.39432912255374e-180	0.821561826851308	0.685	0.377	1.59096385400866e-175
SPARC	1.87191744658866e-179	0.770232467308583	0.826	0.586	4.02761757808016e-175
ATP8B1	3.52384382347848e-179	0.433088299606475	0.341	0.095	7.5819023705963e-175
PLSCR4	4.68390222097862e-177	0.433108904747966	0.301	0.076	1.00778840186576e-172
HSPA2	6.94669203447252e-174	0.435290570369571	0.335	0.094	1.49465025813711e-169
PLAC9	8.57527263627069e-173	0.663025164030927	0.369	0.116	1.84505566042e-168
VAMP5	7.79912554049806e-172	0.390624647529489	0.296	0.075	1.67805985129356e-167
AXL	1.73633275503505e-171	0.291942055642459	0.223	0.042	3.73589355573342e-167
C1S	4.28507978841841e-171	0.268624040402998	0.2	0.033	9.21977767276105e-167
H2AFJ	4.33641274897381e-171	0.695635976616603	0.519	0.232	9.33022567069206e-167
ECM1	5.70984447563738e-169	0.466918518726774	0.516	0.208	1.22853013737814e-164
ANXA5	2.28862221421474e-168	0.773037480944343	0.907	0.832	4.92419955610443e-164
ARID5B	3.42246034352493e-167	0.69602994500493	0.711	0.403	7.36376567512824e-163
OPTN	1.33592451295814e-164	0.422146658372263	0.35	0.107	2.87437518208074e-160
RGS4	1.95008718496138e-161	0.427805196170385	0.282	0.072	4.19580758716291e-157
B2M	1.10041537203287e-160	0.407965278869936	1	0.999	2.36765371446592e-156
TNFRSF12A	4.32416547072595e-159	0.681266404131838	0.701	0.373	9.30387442681396e-155
MFGE8	8.71162816654868e-159	0.644382221868955	0.683	0.39	1.87439391631461e-154
FMOD	2.25076215509846e-158	0.459749498905965	0.403	0.141	4.84273985290985e-154
PTTG1IP	2.3285626884313e-158	0.666853954207263	0.871	0.664	5.01013548042879e-154
SEPT11	3.64934172336543e-157	0.717306524138725	0.888	0.746	7.85192365199306e-153
AHNAK	4.75715777942107e-157	0.678284840843049	0.876	0.662	1.02355006782024e-152
C12orf75	7.86423365106304e-157	0.93184550451518	0.779	0.586	1.69206851236272e-152
SMTN	3.05772614918355e-156	0.541622850779946	0.437	0.169	6.57900358258332e-152
TGFB2	2.39738137922565e-154	0.451908428233993	0.323	0.096	5.15820577554192e-150
DDAH1	2.87936458246132e-154	0.474397840902619	0.474	0.193	6.19524083562377e-150
COL6A2	8.42757495776741e-154	0.54350164971424	0.464	0.191	1.81327702791324e-149
LTBR	3.09120636262873e-153	0.318056667742248	0.275	0.07	6.65103960983197e-149
GLS	4.74597260241435e-152	0.727002171928713	0.766	0.516	1.02114346513547e-147
MFAP5	1.00018108685488e-151	0.257983442582507	0.143	0.017	2.15198962647696e-147
TNC	6.48953373741987e-151	0.528568913657735	0.499	0.209	1.39628807894326e-146
GADD45B	8.87790017954298e-151	0.563416583507015	0.478	0.199	1.91016900263047e-146
LIMS2	2.62281227528882e-150	0.340158400924777	0.291	0.081	5.64324289151142e-146
ASPH	1.22735315271385e-149	0.687606767782224	0.736	0.491	2.64077304337913e-145
EFEMP2	7.09634287203556e-148	0.521190617204256	0.51	0.227	1.52684913234717e-143
LGMN	1.95531255961081e-146	0.557729128843992	0.598	0.311	4.20705050325863e-142
RPS4X	1.56030278695442e-145	-0.356272810381498	1	1	3.35714747641112e-141
C1R	1.03306403565215e-144	0.377227762137096	0.325	0.101	2.22274057910917e-140
CHCHD7	4.49751168540212e-143	-0.709480656999056	0.427	0.698	9.67684614231121e-139
CAMK2D	2.06922022760576e-142	0.423737710952651	0.452	0.184	4.45213424171655e-138
TMEM47	5.40352674865773e-142	0.659341176104923	0.612	0.345	1.1626228152412e-137
MYL12B	9.41567521636173e-142	0.44148013674052	0.996	0.973	2.02587667955239e-137
NPW	3.8552775133031e-141	-0.865329141105715	0.814	0.912	8.29501509762296e-137
MIR503HG	8.25047554987567e-141	0.620661485557795	0.358	0.127	1.77517231931125e-136
COL5A2	3.84775591511916e-139	0.712494661160126	0.726	0.492	8.27883162697038e-135
SERBP1	7.32748912657332e-139	-0.38501258298234	1	1	1.57658256047351e-134
BTG1	1.24516855462014e-138	0.856629268633482	0.693	0.46	2.67910466212069e-134
TNFAIP6	1.19881167083683e-137	0.841227526925586	0.673	0.416	2.57936319097253e-133
GPNMB	3.54911383268304e-137	0.443406089368808	0.321	0.104	7.63627332240083e-133
PARVB	2.78995058938836e-136	0.347465800019344	0.282	0.082	6.00285768812799e-132
SLC25A3	3.65046166408854e-136	0.453944076577834	0.999	0.998	7.85433331645289e-132
NPAS2	3.11733132925349e-135	0.276553381798036	0.25	0.065	6.70725008802181e-131
HSPD1	1.13742300796765e-134	-0.428905504960845	0.999	1	2.4472793439432e-130
HLA-B	1.46392728736635e-134	0.868093796641755	0.516	0.266	3.14978595149744e-130
ATP5MC3	2.25489240983303e-134	-0.454159511110551	0.97	0.995	4.85162650899675e-130
MT2A	1.79079171417784e-133	1.16786007039363	0.776	0.581	3.85306745222504e-129
COL5A1	3.17250272033448e-133	0.517943115749006	0.517	0.245	6.82595685307166e-129
ELL2	4.08665609854374e-132	0.411633572441378	0.372	0.137	8.79284926162671e-128
FTH1	5.90822107005262e-131	0.719577327232544	1	1	1.27121284543252e-126
TRAC	3.98804703463768e-130	0.252258824312988	0.196	0.042	8.58068199972643e-126
SERPINE1	8.62475458037632e-130	0.424373859524467	0.173	0.033	1.85570219551377e-125
TMSB10	4.73260956068493e-129	0.365033326724914	1	1	1.01826827307697e-124
ADGRA2	3.91938904324836e-128	0.503250579891146	0.51	0.252	8.43295746545318e-124
EMP3	2.13094882170685e-127	0.505234067526906	0.971	0.888	4.58494948478447e-123
PTMS	3.49549854000709e-127	0.536888954351707	0.998	0.991	7.52091465867926e-123
CCL2	1.0664938572399e-126	0.474995283163963	0.219	0.054	2.29466818323736e-122
RCN3	2.61322194638365e-126	0.530878565430625	0.59	0.322	5.62260833983907e-122
UQCRH	3.43570157117984e-126	-0.364274750880684	1	1	7.39225550055053e-122
ACTA2	8.92278798060642e-126	1.09631976856769	0.614	0.358	1.91982706190728e-121
BARX2	2.71633706667899e-125	0.334895338165489	0.287	0.089	5.84447083266651e-121
MAFB	4.15767936827114e-125	-0.994590583189415	0.172	0.477	8.94566292877217e-121
ITGB1	5.53892849170514e-124	0.474060365148472	0.975	0.945	1.19175585427528e-119
SAMD4A	2.54116229004617e-123	0.407278520580551	0.413	0.171	5.46756478326335e-119
RBPMS	7.50245860407305e-123	0.388935755513424	0.44	0.189	1.61422899325236e-118
MYO1C	1.84157540767465e-122	0.543908235975143	0.789	0.556	3.96233364715278e-118
CDK6	1.6548091782172e-120	0.348658324338168	0.345	0.127	3.56048742785212e-116
PPP1R1A	2.91742878355679e-120	-0.761062389885887	0.457	0.69	6.27713977070079e-116
HSP90B1	5.4407887608907e-120	0.527167725558987	0.997	0.992	1.17064010979324e-115
MGP	7.90148186727184e-119	0.575513929087867	0.66	0.346	1.70008283856221e-114
GAPDH	1.42388473614061e-118	0.265479478971383	1	1	3.06363039828013e-114
SNTG1	2.41581286908745e-117	0.267841252085992	0.21	0.053	5.19786296912855e-113
PKM	3.23025428975636e-117	0.385000207744903	0.998	0.987	6.9502151298398e-113
TRAM2	4.5853378178846e-116	0.351651493776912	0.381	0.155	9.86581284896052e-112
UBE2QL1	2.19532832271959e-115	0.372329024648157	0.355	0.135	4.72346841916347e-111
COL6A1	2.42534913989987e-115	0.40556529355157	0.403	0.172	5.21838120940855e-111
ARPC2	3.65970555061809e-115	0.369646798116331	0.999	0.981	7.87422246270988e-111
LOXL2	5.06753539475617e-115	0.299538557258753	0.208	0.053	1.09033091553574e-110
PXDC1	6.27347239843345e-115	0.283170525319947	0.259	0.079	1.34980032124694e-110
CSTB	9.29254732066364e-115	0.475998395032029	0.949	0.882	1.99938448151399e-110
GZMM	1.12259405315733e-114	0.326511685800168	0.299	0.102	2.41537336477331e-110
SEMA3D	1.32238178165692e-114	0.321996227778218	0.338	0.125	2.84523664141304e-110
CHRDL1	1.63582602495705e-114	0.340940507621862	0.267	0.084	3.5196432752976e-110
COX7C	3.67588996299089e-114	-0.295501245289689	1	1	7.90904484437121e-110
FOXC1	8.64119367652523e-114	0.323087620105828	0.282	0.092	1.85923923144117e-109
C1QL1	5.0334946763901e-113	0.764966999494605	0.549	0.325	1.08300671457209e-108
RECK	1.2795659906093e-112	0.342461833380901	0.362	0.144	2.75311418539498e-108
TIMP2	2.78689462006008e-112	0.499357462299799	0.675	0.426	5.99628246452127e-108
TRAM1	9.13978265483614e-112	0.5698125584792	0.85	0.716	1.96651563601454e-107
IGFBP4	2.58429818814229e-111	0.666443281958378	0.66	0.432	5.56037598160695e-107
NEDD8	4.73053339332708e-111	0.345285448682179	0.998	0.99	1.01782156490825e-106
GNS	1.29724453778081e-109	0.484078355207234	0.541	0.298	2.79115134748919e-105
ADAM9	1.30687100333667e-109	0.484051318447066	0.565	0.322	2.81186365077918e-105
PHLDA1	1.09515279181655e-108	0.279260976679348	0.203	0.053	2.35633074687248e-104
PTPN14	1.57657890320108e-108	0.444194011968273	0.832	0.578	3.39216716812743e-104
MMP2	1.78952869755339e-108	0.380123162110477	0.464	0.218	3.85034994565586e-104
DAD1	7.03452386272855e-108	0.378410889645692	0.982	0.947	1.51354815430467e-103
COL4A2	3.03330633328741e-107	0.51798998044636	0.571	0.311	6.5264619067012e-103
ACTG1	6.77308176666613e-106	0.421704533214884	1	1	1.45729627291588e-101
HIPK2	7.18655420135723e-106	0.399145523383365	0.43	0.202	1.54625900196402e-101
PDE4DIP	3.20902486197481e-105	0.641150481460561	0.656	0.454	6.904537893025e-101
TRIM9	4.43383870523121e-105	0.264014637365781	0.238	0.072	9.53984735817547e-101
RPL24	9.4499739300449e-105	-0.262472226673631	1	1	2.03325639078846e-100
NASP	1.27817899119607e-104	-0.47704919496636	0.951	0.987	2.75012991745746e-100
FLNA	3.77902246783285e-104	0.54800729765554	0.954	0.907	8.13094474178916e-100
CORO2A	4.85756927319889e-104	0.290765191477051	0.257	0.083	1.04515460482147e-99
