"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S100A6",1.75400450358341e-239,2.25934920720889,0.618,0.316,3.77391608991007e-235
"S100A10",6.11859990036415e-298,1.78677775850781,0.803,0.53,1.31647795456235e-293
"TAGLN",0,1.74992736630908,0.74,0.292,0
"CALD1",0,1.66885189822623,0.917,0.717,0
"VIM",0,1.66455374016902,0.998,0.965,0
"COL1A1",0,1.53130644470018,0.731,0.305,0
"TPM1",0,1.45462522334196,0.896,0.569,0
"COL1A2",3.89439004531872e-291,1.42291936443756,0.686,0.318,8.37916962150776e-287
"LGALS1",1.21807527863927e-295,1.40852630941326,0.897,0.672,2.62081076952025e-291
"RGS5",0,1.39607017467961,0.503,0.127,0
"PEG3",2.6848177047345e-246,1.36647445508142,0.547,0.201,5.77665377350676e-242
"NT5E",0,1.31700624361219,1,0,0
"FN1",0,1.30965671189942,0.959,0.661,0
"CRYAB",3.87084311097522e-287,1.26894297311901,0.654,0.246,8.32850603757428e-283
"ACTN1",0,1.25668091863744,0.905,0.535,0
"DSTN",0,1.18979035620207,0.995,0.965,0
"MT2A",1.79079171417784e-133,1.16786007039363,0.776,0.581,3.85306745222504e-129
"CYR61",1.16755767834268e-236,1.10904682222748,0.637,0.283,2.51211710072212e-232
"ACTA2",8.92278798060642e-126,1.09631976856769,0.614,0.358,1.91982706190728e-121
"FSTL1",1.78997666495515e-240,1.08514883197117,0.825,0.59,3.85131379231749e-236
"RBP7",0,1.08097705992539,0.46,0.101,0
"CTGF",8.3478502561845e-192,1.03575853700135,0.558,0.24,1.79612346112066e-187
"LMNA",2.71542816675939e-262,1.01766087913678,0.965,0.792,5.84251524359951e-258
"CAVIN1",0,1.00682828638057,0.753,0.317,0
"NPY1R",8.35682366543778e-244,0.991382769024697,0.844,0.519,1.79805417985559e-239
"ANXA2",0,0.973536577964342,0.997,0.963,0
"LIMA1",6.4747573400115e-207,0.972158971744492,0.927,0.785,1.39310878927687e-202
"P4HA1",2.291872306273e-210,0.969046179251521,0.746,0.461,4.93119245417698e-206
"CD9",0,0.955999405278227,0.599,0.18,0
"THY1",4.53741641141317e-192,0.946517145108413,0.765,0.485,9.76270515079658e-188
"C12orf75",7.86423365106304e-157,0.93184550451518,0.779,0.586,1.69206851236272e-152
"CYTL1",2.93595247502282e-184,0.927467505944385,0.437,0.157,6.3169953452591e-180
"CTSB",1.35766460667042e-207,0.927435946441483,0.81,0.554,2.92115116771208e-203
"AKR1C3",5.85465133861836e-231,0.917318725385936,0.664,0.283,1.25968678201713e-226
"MYH9",4.67708774903458e-224,0.916191825757432,0.931,0.751,1.00632220008228e-219
"MMP1",2.35068537863146e-07,0.913966841007154,0.232,0.197,0.00505773466066344
"NPC2",4.97780098409561e-224,0.910574968857014,0.791,0.503,1.07102365973801e-219
"MEG3",1.07102919988957e-189,0.898417633511649,0.768,0.447,2.3044264264824e-185
"ALCAM",1.02455282636607e-249,0.892522505581096,0.724,0.363,2.20442786120923e-245
"NUPR1",0,0.873737601082204,0.402,0.076,0
"CRIM1",1.13282625892847e-292,0.871948231408758,0.704,0.294,2.43738897871049e-288
"S100A11",1.78150191167624e-198,0.870838780003536,0.913,0.748,3.83307951316261e-194
"SDC2",2.36693695337081e-230,0.87007985136282,0.587,0.241,5.09270154887264e-226
"FBN1",6.14064949741434e-270,0.869023016789439,0.597,0.213,1.32122214586367e-265
"HLA-B",1.46392728736635e-134,0.868093796641755,0.516,0.266,3.14978595149744e-130
"TMSB4X",3.51978631103044e-206,0.86351239212894,0.995,0.923,7.57317222681309e-202
"MARCKS",4.00615883002668e-184,0.863320453597518,0.939,0.886,8.6196513386854e-180
"LOX",7.34589462615194e-248,0.861223655354265,0.537,0.187,1.58054268776285e-243
"BTG1",1.24516855462014e-138,0.856629268633482,0.693,0.46,2.67910466212069e-134
"TNFAIP6",1.19881167083683e-137,0.841227526925586,0.673,0.416,2.57936319097253e-133
"LMO7",7.39432912255374e-180,0.821561826851308,0.685,0.377,1.59096385400866e-175
"FERMT2",7.9770546035327e-215,0.810859169084717,0.702,0.369,1.7163430684961e-210
"MYL12A",2.47424848143522e-278,0.788465222926322,0.993,0.945,5.32359303265602e-274
"CAMK2N1",5.98573177871606e-224,0.779038968643057,0.507,0.182,1.28789004950855e-219
"PDLIM2",2.42465329498363e-258,0.776062182027183,0.493,0.155,5.21688402948679e-254
"ANKRD1",2.36281112557301e-40,0.774561318205019,0.103,0.033,5.08382441778289e-36
"ANXA5",2.28862221421474e-168,0.773037480944343,0.907,0.832,4.92419955610443e-164
"SPARC",1.87191744658866e-179,0.770232467308583,0.826,0.586,4.02761757808016e-175
"C1QL1",5.0334946763901e-113,0.764966999494605,0.549,0.325,1.08300671457209e-108
"MYL6",1.77294349411066e-205,0.763432446771218,0.999,0.999,3.8146652219285e-201
"MYL9",0,0.754650105982351,0.365,0.051,0
"BST2",2.45641201512317e-199,0.740912467826131,0.429,0.138,5.28521609173901e-195
"LTBP1",1.85408337562542e-233,0.738383792282091,0.511,0.176,3.98924579099564e-229
"DLC1",5.32277681058642e-186,0.738072843498773,0.753,0.451,1.14524865856577e-181
"ACTN4",1.2867749939024e-193,0.732872119644672,0.92,0.757,2.76862507688041e-189
"IGFBP2",7.35122768205065e-197,0.730251413170175,0.991,0.927,1.58169014807002e-192
"GLIPR1",1.28642019689498e-229,0.727417172132584,0.568,0.219,2.76786169563923e-225
"GLS",4.74597260241435e-152,0.727002171928713,0.766,0.516,1.02114346513547e-147
"ANXA1",5.73148004897045e-193,0.722840956723478,0.971,0.86,1.23318524733648e-188
"FTH1",5.90822107005262e-131,0.719577327232544,1,1,1.27121284543252e-126
"SEPT11",3.64934172336543e-157,0.717306524138725,0.888,0.746,7.85192365199306e-153
"COL5A2",3.84775591511916e-139,0.712494661160126,0.726,0.492,8.27883162697038e-135
"TPM4",1.22072756430148e-232,0.702282305409279,0.996,0.961,2.62651742735107e-228
"TPM2",2.0137020019426e-192,0.701650662196354,0.965,0.925,4.33268122737969e-188
"FABP7",1.85299323630462e-261,0.700980679705941,0.323,0.058,3.98690024723302e-257
"ARID5B",3.42246034352493e-167,0.69602994500493,0.711,0.403,7.36376567512824e-163
"H2AFJ",4.33641274897381e-171,0.695635976616603,0.519,0.232,9.33022567069206e-167
"NCKAP1L",8.72407398735706e-72,0.69313963018266,0.672,0.565,1.87707175911974e-67
"ASPH",1.22735315271385e-149,0.687606767782224,0.736,0.491,2.64077304337913e-145
"S100A13",4.35945853770632e-99,0.686142083309924,0.639,0.443,9.37981098972891e-95
"CD63",7.1503878815519e-200,0.68417305580013,0.994,0.974,1.53847745659471e-195
"SH3BGRL3",7.81782422578691e-222,0.681282084229217,0.989,0.9,1.68208306042031e-217
"TNFRSF12A",4.32416547072595e-159,0.681266404131838,0.701,0.373,9.30387442681396e-155
"AHNAK",4.75715777942107e-157,0.678284840843049,0.876,0.662,1.02355006782024e-152
"PDLIM1",1.40683744220433e-244,0.670410084943481,0.429,0.119,3.02695144064684e-240
"PTTG1IP",2.3285626884313e-158,0.666853954207263,0.871,0.664,5.01013548042879e-154
"IGFBP4",2.58429818814229e-111,0.666443281958378,0.66,0.432,5.56037598160695e-107
"MYOF",0,0.664585557053415,0.46,0.096,0
"EPAS1",5.72097076246161e-215,0.663133420192087,0.524,0.192,1.23092406925124e-210
"PLAC9",8.57527263627069e-173,0.663025164030927,0.369,0.116,1.84505566042e-168
"TMEM47",5.40352674865773e-142,0.659341176104923,0.612,0.345,1.1626228152412e-137
"MT1E",6.08927520967619e-263,0.64942950282028,0.326,0.06,1.31016845411393e-258
"BGN",2.80665065810712e-223,0.64784821870261,0.392,0.106,6.03878955598327e-219
"MFGE8",8.71162816654868e-159,0.644382221868955,0.683,0.39,1.87439391631461e-154
"PDE4DIP",3.20902486197481e-105,0.641150481460561,0.656,0.454,6.904537893025e-101
"AKAP12",1.64147574410837e-95,0.640679194327554,0.797,0.592,3.53179921102356e-91
"ATP1B1",9.41856107964934e-215,0.62971952538119,0.467,0.153,2.02649760189735e-210
"NEAT1",2.23820143036547e-59,0.625524907366594,0.918,0.936,4.81571419757435e-55
"MIR503HG",8.25047554987567e-141,0.620661485557795,0.358,0.127,1.77517231931125e-136
"SSPN",3.44329830223018e-180,0.604719196160523,0.442,0.158,7.40860062707846e-176
"COL11A1",0,0.598746941967445,0.358,0.061,0
"TAGLN2",5.41478887074617e-100,0.594535984120329,0.849,0.725,1.16504597342975e-95
"PRSS23",3.80386006964225e-190,0.587142832803248,0.391,0.12,8.18438532584227e-186
"IER3",1.69785524202855e-88,0.579795065680438,0.565,0.337,3.65310533874863e-84
"MGP",7.90148186727184e-119,0.575513929087867,0.66,0.346,1.70008283856221e-114
"VGLL3",7.388660124125e-189,0.571037010492646,0.396,0.124,1.58974411230673e-184
"TRAM1",9.13978265483614e-112,0.5698125584792,0.85,0.716,1.96651563601454e-107
"GADD45B",8.87790017954298e-151,0.563416583507015,0.478,0.199,1.91016900263047e-146
"LOXL1",2.80991066891274e-210,0.560194812396248,0.534,0.199,6.04580379523265e-206
"LGMN",1.95531255961081e-146,0.557729128843992,0.598,0.311,4.20705050325863e-142
"KCNE4",2.32267529556436e-100,0.55031497477644,0.856,0.663,4.99746816593627e-96
"FLNA",3.77902246783285e-104,0.54800729765554,0.954,0.907,8.13094474178916e-100
"TIMP1",1.59809763114396e-77,0.547847354816021,0.905,0.832,3.43846686316935e-73
"CLEC11A",4.22782661651966e-93,0.546835226057183,0.759,0.554,9.09659174810371e-89
"PSME1",3.76522549092692e-91,0.546216339808506,0.728,0.545,8.10125916627837e-87
"MYO1C",1.84157540767465e-122,0.543908235975143,0.789,0.556,3.96233364715278e-118
