"","NT5E"
"A1BG",-0.328638988140586
"A1CF",0.244770659344705
"A2M",0.556158034314725
"A2M-AS1",0.389704284256661
"A2ML1",0.129245267734764
"A2MP1",0.331726547586574
"A4GALT",-0.0570613553378898
"A4GNT",-0.0509950512743271
"AA06",0.0332272869199176
"AAAS",-0.500443315573421
"AACS",0.00718726793677132
"AACSP1",0.149799773291615
"AADAC",-0.0407937875774241
"AADACL2",0.124071282708065
"AADACP1",-0.0306962549581616
"AADAT",0.27985513021439
"AAED1",0.255672135975107
"AAGAB",0.157529183487852
"AAK1",0.180459163101577
"AAMDC",0.0117774294265666
"AAMP",-0.429394201542766
"AAR2",-0.243039045545684
"AARS",-0.128064379645831
"AARS2",-0.304335732986706
"AASDH",-0.0864797573789996
"AASDHPPT",-0.472474966533411
"AASS",0.0617899968844656
"AATBC",-0.0105442014058202
"AATF",-0.406974376549878
"AATK",0.0244702283877439
"ABAT",-0.09842478953182
"ABCA1",0.399706282185514
"ABCA11P",-0.0345544895354766
"ABCA12",-0.0237513868141934
"ABCA13",-0.00657105237338637
"ABCA17P",-0.205746425673494
"ABCA2",-0.145673788965916
"ABCA3",-0.274035820051154
"ABCA5",-0.103506585485148
"ABCA6",0.136689415201644
"ABCA7",0.0909901924001255
"ABCA8",0.0781185086661517
"ABCA9",0.144695049689744
"ABCB1",0.409051627789049
"ABCB10",-0.190221670970312
"ABCB4",0.651924529940768
"ABCB5",0.0373815996733211
"ABCB6",-0.501248989534831
"ABCB7",-0.0864925091551238
"ABCB8",-0.0753695179216293
"ABCB9",-0.197687255118079
"ABCC1",-0.0491713205421891
"ABCC10",0.0562133166745722
"ABCC11",0.233872200718204
"ABCC12",0.137388508802904
"ABCC13",0.416500291861605
"ABCC2",0.357261244994382
"ABCC3",0.194192194542103
"ABCC4",0.049924474814415
"ABCC5",0.24836416780697
"ABCC6",0.0136166777543737
"ABCC6P1",0.000898449571196161
"ABCC9",0.00792638671407792
"ABCD1",-0.0420022798561019
"ABCD3",-0.243849213797802
"ABCD4",-0.274169624879959
"ABCE1",-0.467237507295777
"ABCF1",-0.301992954560425
"ABCF2",-0.461443801450704
"ABCF3",-0.0926263635646912
"ABCG1",0.432484256284438
"ABCG2",0.293826005892788
"ABHD1",0.245416194911829
"ABHD10",-0.186313114295489
"ABHD11",0.12147882991638
"ABHD12",0.267275750308776
"ABHD13",-0.389962459648077
"ABHD14B",-0.141990513473976
"ABHD15",0.244479052324698
"ABHD16A",-0.326325753344066
"ABHD17A",-0.175316204771186
"ABHD17B",0.00126995146226952
