"","NT5E"
"A1BG",0.0293997052628203
"A1CF",0.10929960348563
"A2M",8.86343594648231e-05
"A2M-AS1",0.00892619808892192
"A2ML1",0.403070162533458
"A2MP1",0.02782218070144
"A4GALT",0.712943501627736
"A4GNT",0.742353073439924
"AA06",0.830454395925299
"AAAS",0.00054131291380255
"AACS",0.963068737321962
"AACSP1",0.331775229045031
"AADAC",0.792616263490917
"AADACL2",0.422315518493969
"AADACP1",0.843201026089589
"AADAT",0.0657883452328778
"AAED1",0.0939178559469946
"AAGAB",0.307139556235696
"AAK1",0.241107092413595
"AAMDC",0.939517615249851
"AAMP",0.00362983948389228
"AAR2",0.111909999506886
"AARS",0.407417423419417
"AARS2",0.0445855935693267
"AASDH",0.576724840317224
"AASDHPPT",0.0012022321015146
"AASS",0.690298389812588
"AATBC",0.945840862123424
"AATF",0.00611340219515277
"AATK",0.874718581285633
"ABAT",0.525019420576966
"ABCA1",0.00718612032963328
"ABCA11P",0.823787347756201
"ABCA12",0.878370842567129
"ABCA13",0.966233208921256
"ABCA17P",0.180289471101614
"ABCA2",0.345415607911276
"ABCA3",0.0718525890524317
"ABCA5",0.503738685728402
"ABCA6",0.376288417092995
"ABCA7",0.556931209637304
"ABCA8",0.614237884893724
"ABCA9",0.348701126690475
"ABCB1",0.00583358767277864
"ABCB10",0.216163922150601
"ABCB4",1.63672397279768e-06
"ABCB5",0.809627034119356
"ABCB6",0.000528473105802396
"ABCB7",0.576668432774218
"ABCB8",0.626793582362276
"ABCB9",0.198339690403432
"ABCC1",0.751268127672321
"ABCC10",0.717031284161437
"ABCC11",0.126524914029967
"ABCC12",0.373828922983441
"ABCC13",0.00491962179275252
"ABCC2",0.0172778165560108
"ABCC3",0.206550713759601
"ABCC4",0.747582483458222
"ABCC5",0.10403074594905
"ABCC6",0.930094003382744
"ABCC6P1",0.995381815990537
"ABCC9",0.959273860547914
"ABCD1",0.786613874580065
"ABCD3",0.110682838845062
"ABCD4",0.0717083629370312
"ABCE1",0.00138576740830976
"ABCF1",0.0463367082999258
"ABCF2",0.00161742414291499
"ABCF3",0.549830762264498
"ABCG1",0.0033688591024108
"ABCG2",0.0528820605355773
"ABHD1",0.108338426324451
"ABHD10",0.225926044734119
"ABHD11",0.432150265993271
"ABHD12",0.079442064464057
"ABHD13",0.00887709387423818
"ABHD14B",0.357879003587356
"ABHD15",0.109735919478147
"ABHD16A",0.0306295881508905
"ABHD17A",0.25500336593126
"ABHD17B",0.993472267974474
"ABHD17C",0.224018999157591
"ABHD18",0.114378451838292
"ABHD2",0.0057558556834334
"ABHD3",0.949644229273606
"ABHD4",0.000249305835919422
"ABHD5",0.425590731611139
"ABHD6",0.504567171313338
"ABI1",0.586239408850048
"ABI2",0.0489472937352824
"ABI3",0.00878628927948699
"ABI3BP",0.00107365641753443
"ABL1",0.33812749121651
"ABL2",0.143638304406992
"ABLIM1",0.88541384941408
"ABLIM2",0.836399660335381
"ABLIM3",0.0171365987589247
"ABR",0.358616050536579
"ABRA",0.352539217087741
"ABRACL",0.112318075485305
"ABT1",0.121728255097166
"ABTB1",0.0390856705390394
"ABTB2",0.0157328013569422
"ACAA1",0.131522501854245
"ACAA2",0.849607111163142
"ACACA",0.102175763933448
"ACACB",0.319426605092402
"ACAD10",0.87912074322148
"ACAD8",0.000928664929088718
"ACAD9",0.361146399977029
"ACADL",0.655413880934247
"ACADM",0.318707030637907
"ACADS",0.867981277245939
"ACADSB",0.299852980112405
"ACADVL",0.424706112055075
"ACAN",1.98004304385879e-05
"ACAP1",0.452496122228845
