"","NT5E"
"A1BG",-0.166925518667971
"A1BG-AS1",-0.130362418818896
"A2M",0.766997105712785
"A2M-AS1",0.0962141233686013
"A2ML1",-0.0422200782074321
"A2MP1",0.1921187774174
"A4GALT",0.295904739394208
"AA06",0.01165378208636
"AAAS",-0.155221047550328
"AACS",-0.0310668635612699
"AACSP1",-0.0517063047508564
"AADAC",0.123273471985276
"AADACL2",0.0458704357279379
"AADAT",0.565553551575773
"AAED1",0.279803819044092
"AAGAB",0.232905294679291
"AAK1",0.494804788289703
"AAMDC",-0.167043177515054
"AAMP",-0.353112587814777
"AAR2",-0.242314271774789
"AARS",-0.0636911868293564
"AARS2",-0.391048302481022
"AASDH",-0.548950208865947
"AASDHPPT",-0.498082466462148
"AASS",-0.350200909645274
"AATBC",0.225095506645822
"AATF",-0.574117712850686
"AATK",-0.0467966057195712
"ABAT",-0.245946811599796
"ABCA1",0.0932015694959821
"ABCA11P",-0.152599417273475
"ABCA12",0.121570804343298
"ABCA13",0.142700439442723
"ABCA17P",-0.30848520317149
"ABCA2",0.0465256208857146
"ABCA3",-0.165149613765839
"ABCA5",-0.0400220356174268
"ABCA6",0.24735775062965
"ABCA7",0.155120105967709
"ABCA8",0.13590627018894
"ABCA9",0.200583577043103
"ABCB1",0.505380877841454
"ABCB10",0.0310988742699397
"ABCB11",-0.0398665870383927
"ABCB4",0.350806345886892
"ABCB5",0.4396548149388
"ABCB6",-0.403152441289503
"ABCB7",-0.467023423420086
"ABCB8",-0.287406045549893
"ABCB9",-0.213500975838417
"ABCC1",0.228618480156459
"ABCC10",0.105715292550325
"ABCC12",-0.102101205450595
"ABCC13",-0.0816055732898268
"ABCC3",0.454017884435973
"ABCC4",0.0318940816144696
"ABCC5",0.338489263038397
"ABCC6",-0.154545582922636
"ABCC6P1",-0.199130785777915
"ABCC9",0.271132900382327
"ABCD1",-0.0973266767616749
"ABCD2",0.18696724307472
"ABCD3",-0.149701119516869
"ABCD4",-0.211042726901486
"ABCE1",-0.489452522493279
"ABCF1",-0.0771499860611242
"ABCF2",-0.264232858790313
"ABCF3",0.164170307973652
"ABCG1",0.45047819623566
"ABCG2",0.330459738089853
"ABCG4",0.401476350560745
"ABHD1",-0.201379337476609
"ABHD10",-0.412019040476423
"ABHD11",-0.0178163190813022
"ABHD12",0.400461751036959
"ABHD13",-0.0209404175673865
"ABHD14B",-0.274288727790727
"ABHD15",0.141551714844596
"ABHD16A",-0.057048008811931
"ABHD17A",0.0795052981994391
"ABHD17B",0.07071412730273
"ABHD17C",0.158652690053652
"ABHD18",-0.0898956484256354
"ABHD2",0.318484015962355
"ABHD3",0.00764807959834318
"ABHD4",0.463567014014287
"ABHD5",-0.00548561193273571
"ABHD6",-0.245681528899027
"ABHD8",-0.298666260387048
