"","NT5E"
"A1BG",0.141465393120777
"A1BG-AS1",0.252162584079284
"A2M",2.22044604925031e-16
"A2M-AS1",0.398949759466444
"A2ML1",0.711797020958105
"A2MP1",0.0898457919256348
"A4GALT",0.00810381245943881
"AA06",0.918809445490366
"AAAS",0.171957993703105
"AACS",0.78578145536524
"AACSP1",0.650870404912745
"AADAC",0.279097547400546
"AADACL2",0.688112210683535
"AADAT",5.61129733789301e-08
"AAED1",0.0125104011380262
"AAGAB",0.038865244630645
"AAK1",3.56408425572496e-06
"AAMDC",0.141181056853243
"AAMP",0.00141290207238853
"AAR2",0.0314301626167901
"AARS",0.577088095390361
"AARS2",0.00036619211720379
"AASDH",1.62141329695942e-07
"AASDHPPT",2.99999038988474e-06
"AASS",0.00155685444735632
"AATBC",0.0460997986204517
"AATF",3.17183121989473e-08
"AATK",0.68214921139088
"ABAT",0.028899216218766
"ABCA1",0.413945504262522
"ABCA11P",0.179403971792516
"ABCA12",0.285842460393805
"ABCA13",0.20963687022579
"ABCA17P",0.00567526402445018
"ABCA2",0.683891911741298
"ABCA3",0.145809629720857
"ABCA5",0.726193083053262
"ABCA6",0.0279636492044459
"ABCA7",0.17224042553091
"ABCA8",0.23237715578037
"ABCA9",0.0763165261847147
"ABCB1",2.03090431916131e-06
"ABCB10",0.785566014331858
"ABCB11",0.7272148603018
"ABCB4",0.0015258754581926
"ABCB5",5.03632199180259e-05
"ABCB6",0.000229760174584648
"ABCB7",1.43264647192165e-05
"ABCB8",0.0102217795674344
"ABCB9",0.0588600665499537
"ABCC1",0.0427093753626275
"ABCC10",0.353800366153323
"ABCC12",0.370587442559733
"ABCC13",0.47463449510725
"ABCC3",2.6388254788845e-05
"ABCC4",0.780219253342908
"ABCC5",0.00227917735529548
"ABCC6",0.173854406565752
"ABCC6P1",0.0785150173489884
"ABCC9",0.0156520370452302
"ABCD1",0.39349386010337
"ABCD2",0.0989639231234845
"ABCD3",0.187906204088496
"ABCD4",0.061904712102633
"ABCE1",4.70422146836569e-06
"ABCF1",0.499166076066868
"ABCF2",0.0186173295851004
"ABCF3",0.148247646903533
"ABCG1",3.10285743840844e-05
"ABCG2",0.00293544935577383
"ABCG4",0.000245340070957667
"ABHD1",0.0751333399172318
"ABHD10",0.000161443496953906
"ABHD11",0.876156621963734
"ABHD12",0.000255237200892822
"ABHD13",0.854659993851334
"ABHD14B",0.0144376919774096
"ABHD15",0.213366356726665
"ABHD16A",0.617512583664833
"ABHD17A",0.486116587066668
"ABHD17B",0.535732729774385
"ABHD17C",0.162557358239971
"ABHD18",0.43077190478481
"ABHD2",0.00422951820858364
"ABHD3",0.946665237841231
"ABHD4",1.68925272108211e-05
"ABHD5",0.961731876979422
"ABHD6",0.0290780382489584
"ABHD8",0.00750397205579256
"ABI1",0.234811683866413
"ABI2",2.94175747761471e-07
"ABI3",0.000686888761983084
"ABI3BP",7.92531535065422e-07
"ABL1",0.774711802380442
"ABL2",0.0137301168761113
"ABLIM1",0.346509234748276
"ABLIM2",0.512979645803662
"ABLIM3",3.52096130029622e-09
"ABR",0.833977655604924
"ABRA",0.241590065827842
"ABRACL",0.00267410074200392
"ABT1",0.221001709588418
"ABTB1",0.373038280536928
"ABTB2",0.0577290836470654
"ACAA1",0.181264032583683
"ACAA2",0.0735005266851261
"ACACA",0.0045133191605764
"ACACB",0.477720949175858
"ACAD10",0.191446732394398
"ACAD8",0.0352519055382476
"ACAD9",0.450556449080046
"ACADL",0.943150104007816
"ACADM",0.204210814981904
"ACADS",0.620768496204099
"ACADSB",0.000216344911912358
"ACADVL",0.440183300065184
"ACAN",4.71394523415825e-09
"ACAP1",0.29496179543321
"ACAP2",0.0208661790803295
"ACAP3",0.0607403373075868
"ACAT1",0.395975728116887
"ACAT2",0.0792576226001098
"ACBD3",0.00347765437656422
"ACBD4",0.373162325130448
"ACBD5",0.0176323827425211
