TargetName,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12
ZNF845,134.48,151.91,132.05,144.4,144.71,133.98,144.66,149.92,148.99,154.95,144.5,147.2
SLC25A44,116.74,126.59,125.78,114.44,130.31,136.09,135.21,134.92,127.08,127.61,138.95,123.14
SMARCD2,139.15,144,145.54,136.99,144.71,152.97,144.66,143.92,135.85,157.23,133.39,157.1
MYSM1,157.21,169.32,164.04,166.61,151.91,163.52,151.28,142.42,162.14,164.07,152.84,152.86
KIAA1586,144.44,142.42,141.77,148.1,144.71,130.81,137.1,122.93,135.85,139,154.23,142.95
FKTN,153.47,167.74,154.95,147.76,138.82,147.69,146.56,157.41,153.37,143.56,138.95,141.53
SRFBP1,120.47,110.77,126.09,126.22,127.03,137.14,123.86,106.44,113.94,132.17,123.66,113.23
NIF3L1,130.12,131.34,139.89,136.32,130.96,150.86,142.77,130.43,140.23,157.23,126.44,138.7
SMIM20,160.63,139.25,165.3,164.59,155.19,160.35,143.72,170.9,148.99,150.39,151.45,154.27
EEF1AKNMT,186.47,174.07,196.98,185.12,186.62,201.5,196.67,185.89,188.43,202.81,186.19,174.09
RBM10,141.95,137.67,137.38,138.67,156.5,145.58,166.41,151.41,148.99,143.56,134.78,135.87
SEC62,209.82,208.88,204.19,205.32,203.64,201.5,218.42,196.39,214.72,209.64,223.7,188.24
RNF208,143.82,150.33,145.22,142.71,138.82,147.69,136.16,137.92,131.46,164.07,138.95,159.93
NSUN4,131.99,131.34,127.34,119.83,137.51,137.14,138.05,130.43,144.61,148.12,118.1,120.3
GPATCH4,134.48,131.34,132.05,121.85,121.14,133.98,131.43,119.93,144.61,136.72,118.1,110.4
RBM19,142.89,166.16,148.05,155.5,160.43,148.75,171.14,148.42,140.23,168.62,155.62,154.27
ASNSD1,169.97,164.57,164.67,172,164.36,164.57,161.68,152.91,162.14,184.58,154.23,144.37
THUMPD3,117.67,118.68,114.17,123.19,131.62,125.54,130.48,131.93,118.32,141.28,127.83,101.9
ZFAND6,143.2,159.83,161.85,161.9,150.6,166.68,157.9,164.91,140.23,157.23,141.72,137.29
